x,y,z,pitch,yaw,roll
-39.78203582763672,140.46670532226562,2.0,0.0,0.35211181640625,0.0
-39.4820442199707,140.46856689453125,0.0,0.0,0.35211181640625,0.0
-39.18204879760742,140.47039794921875,0.0,0.0,0.35211181640625,0.0
-38.88205337524414,140.47222900390625,0.0,0.0,0.35211181640625,0.0
-38.582061767578125,140.47409057617188,0.0,0.0,0.35211181640625,0.0
-38.282066345214844,140.47592163085938,0.0,0.0,0.35211181640625,0.0
-37.98207092285156,140.477783203125,0.0,0.0,0.35211181640625,0.0
-37.68207550048828,140.4796142578125,0.0,0.0,0.35211181640625,0.0
-37.382083892822266,140.4814453125,0.0,0.0,0.35211181640625,0.0
-37.082088470458984,140.48330688476562,0.0,0.0,0.35211181640625,0.0
-36.7820930480957,140.48513793945312,0.0,0.0,0.35211181640625,0.0
-36.48210144042969,140.48699951171875,0.0,0.0,0.35211181640625,0.0
-36.182106018066406,140.48883056640625,0.0,0.0,0.35211181640625,0.0
-35.882110595703125,140.49069213867188,0.0,0.0,0.35211181640625,0.0
-35.58211898803711,140.49252319335938,0.0,0.0,0.35211181640625,0.0
-35.28212356567383,140.49435424804688,0.0,0.0,0.35211181640625,0.0
-34.98212814331055,140.4962158203125,0.0,0.0,0.35211181640625,0.0
-34.68213653564453,140.498046875,0.0,0.0,0.35211181640625,0.0
-34.38214111328125,140.49990844726562,0.0,0.0,0.35211181640625,0.0
-34.08214569091797,140.50173950195312,0.0,0.0,0.35211181640625,0.0
-33.78215026855469,140.50360107421875,0.0,0.0,0.35211181640625,0.0
-33.48215866088867,140.50543212890625,0.0,0.0,0.35211181640625,0.0
-33.18216323852539,140.50726318359375,0.0,0.0,0.35211181640625,0.0
-32.88216781616211,140.50912475585938,0.0,0.0,0.35211181640625,0.0
-32.582176208496094,140.51095581054688,0.0,0.0,0.35211181640625,0.0
-32.28218078613281,140.5128173828125,0.0,0.0,0.35211181640625,0.0
-31.9821834564209,140.5146484375,0.0,0.0,0.35211181640625,0.0
